:D,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8
4,8,9,9,8,9,8,8,8,8,9,9,8,8,8,8,8,8,8,9,10
5,11,10,11,11,11,11,11,10,11,10,11,11,21,20,20,21,21,21,21,24
6,13,13,13,13,13,13,13,13,13,14,14,13,25,26,26,26,26,25,25,25
7,16,17,16,16,16,16,16,16,16,15,15,17,30,30,29,29,31,29,30,30
8,17,18,18,21,18,18,18,18,18,18,17,18,34,33,34,33,33,34,33,34
9,22,21,20,21,23,23,20,21,29,34,37,46,51,52,53,53,52,52,52,53
10,22,24,24,23,22,26,22,23,41,40,40,58,59,59,58,58,57,58,58,59
11,25,26,26,25,25,25,25,28,43,42,43,64,64,63,63,64,64,65,65,64
12,27,27,27,28,28,28,29,28,47,48,47,69,72,69,69,69,70,70,69,72
13,30,29,30,30,29,30,30,30,50,51,53,75,77,76,75,75,74,75,75,78
14,31,33,32,32,33,32,32,33,56,55,54,80,82,81,81,79,80,80,81,82
15,36,34,34,33,37,33,34,34,60,58,58,85,87,86,87,86,85,86,86,88
16,37,38,37,36,50,37,36,37,65,65,64,93,94,94,92,92,92,93,98,94
17,39,39,38,39,50,38,38,50,68,67,75,98,100,99,97,97,97,97,102,97
18,41,42,41,43,44,44,44,65,69,72,89,105,106,104,102,101,102,103,104,104
19,44,43,44,43,43,43,43,70,74,75,100,113,111,109,108,109,108,109,109,107
20,46,46,46,46,46,48,46,78,78,78,117,115,116,113,114,114,114,119,113,113
21,48,48,47,47,49,49,48,83,82,84,123,120,122,119,120,120,123,121,119,119
22,51,51,51,50,51,50,50,85,84,85,127,125,126,126,128,125,128,126,126,125
23,54,52,53,53,53,52,53,89,90,87,131,138,133,134,133,131,131,132,130,131
24,54,56,55,57,56,55,54,92,93,94,136,138,139,137,137,136,136,137,137,136
25,57,56,58,58,60,56,57,97,98,98,142,144,143,144,147,142,142,145,142,142
26,59,59,61,60,61,59,60,100,99,99,149,148,151,148,152,155,147,153,147,148
27,63,62,62,62,62,63,62,104,105,104,154,154,155,152,155,155,153,153,153,154
28,64,65,64,64,63,64,69,107,109,107,161,161,160,161,158,159,157,160,159,159
29,66,66,67,65,67,67,70,112,112,111,167,166,167,165,167,165,165,164,168,164
30,68,69,68,69,68,69,80,115,119,114,172,170,177,171,172,170,170,169,174,169
31,70,69,70,71,71,70,71,120,122,119,177,181,181,176,178,176,175,176,180,175
32,72,74,73,74,75,73,76,124,123,124,184,183,182,185,189,182,206,182,184,181
33,77,76,77,76,74,75,87,128,128,136,187,189,188,190,195,187,188,190,186,186
34,79,77,77,77,78,77,93,131,140,149,193,195,193,196,199,193,193,193,192,192
